Initiative,Responsible Structure,Responsible Envelope,Responsible Systems,Responsible Finishes
Cradle to Cradle Certified v4 - Gold + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Gold + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Gold + Environmental Product Declaration (EPD) - Industry-Wide,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Gold + Environmental Product Declaration (EPD) - Product-Specific,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Gold + Global GreenTag GreenRate Level A,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Gold + Global GreenTag GreenRate Level B,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Gold + Global GreenTag GreenRate Level C,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Gold + Global GreenTag HealthRATE - Bronze,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Gold + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Gold + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Gold + Global GreenTag HealthRATE - Silver,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Gold + Global GreenTag Product Health Declaration,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Platinum,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Platinum + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Platinum + Declare 2.0 - Declared,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Platinum + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Platinum + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Platinum + Environmental Product Declaration (EPD) - Industry-Wide,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Platinum + Environmental Product Declaration (EPD) - Product-Specific,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Platinum + Global GreenTag GreenRate Level A,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Platinum + Global GreenTag GreenRate Level B,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Platinum + Global GreenTag GreenRate Level C,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Platinum + Global GreenTag HealthRATE - Bronze,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Platinum + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Platinum + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Platinum + Global GreenTag HealthRATE - Silver,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Platinum + Global GreenTag Product Health Declaration,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Silver,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Silver + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Silver + Declare 2.0 - Declared,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Silver + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Silver + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Silver + Environmental Product Declaration (EPD) - Industry-Wide,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Silver + Environmental Product Declaration (EPD) - Product-Specific,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Silver + Global GreenTag GreenRate Level A,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Silver + Global GreenTag GreenRate Level B,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Silver + Global GreenTag GreenRate Level C,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Silver + Global GreenTag HealthRATE - Bronze,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Silver + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Silver + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Silver + Global GreenTag HealthRATE - Silver,Best practice,Best practice,Best practice,Best practice
Cradle to Cradle Certified v4 - Silver + Global GreenTag Product Health Declaration,Best practice,Best practice,Best practice,Best practice
Declare 2.0 - Declared,Tier not met,Tier not met,Tier not met,Tier not met
Declare 2.0 - Declared + Climate Active Carbon Neutral for Products & Services,Tier not met,Tier not met,Good practice,Good practice
Declare 2.0 - Declared + Environmental Product Declaration (EPD) - Industry-Wide,Tier not met,Tier not met,Tier not met,Tier not met
Declare 2.0 - Declared + Environmental Product Declaration (EPD) - Product-Specific,Tier not met,Tier not met,Good practice,Tier not met
Declare 2.0 - Red List Approved,Tier not met,Tier not met,Good practice,Good practice
Declare 2.0 - Red List Approved + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
Declare 2.0 - Red List Approved + Environmental Product Declaration (EPD) - Industry-Wide,Good practice,Good practice,Good practice,Good practice
Declare 2.0 - Red List Approved + Environmental Product Declaration (EPD) - Product-Specific,Good practice,Good practice,Best practice,Best practice
Declare 2.0 - Red List Free,Tier not met,Tier not met,Good practice,Good practice
Declare 2.0 - Red List Free + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
Declare 2.0 - Red List Free + Environmental Product Declaration (EPD) - Industry-Wide,Good practice,Good practice,Good practice,Good practice
Declare 2.0 - Red List Free + Environmental Product Declaration (EPD) - Product-Specific,Good practice,Good practice,Best practice,Best practice
ECNZ Building Insulants (EC 25-17),Tier not met,Tier not met,Good practice,Good practice
ECNZ Building Insulants (EC 25-17) + Climate Active Carbon Neutral for Products & Services,Good practice,Good practice,Best practice,Best practice
ECNZ Building Insulants (EC 25-17) + Declare 2.0 - Declared,Tier not met,Tier not met,Good practice,Good practice
ECNZ Building Insulants (EC 25-17) + Declare 2.0 - Red List Approved,Good practice,Good practice,Best practice,Best practice
ECNZ Building Insulants (EC 25-17) + Declare 2.0 - Red List Free,Good practice,Good practice,Best practice,Best practice
ECNZ Building Insulants (EC 25-17) + Environmental Product Declaration (EPD) - Industry-Wide,Tier not met,Tier not met,Good practice,Good practice
ECNZ Building Insulants (EC 25-17) + Environmental Product Declaration (EPD) - Product-Specific,Good practice,Good practice,Best practice,Good practice
ECNZ Building Insulants (EC 25-17) + Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Best practice
ECNZ Building Insulants (EC 25-17) + Global GreenTag GreenRate Level B,Tier not met,Tier not met,Good practice,Good practice
ECNZ Building Insulants (EC 25-17) + Global GreenTag GreenRate Level C,Tier not met,Tier not met,Good practice,Good practice
ECNZ Building Insulants (EC 25-17) + Global GreenTag HealthRATE - Bronze,Tier not met,Tier not met,Good practice,Good practice
ECNZ Building Insulants (EC 25-17) + Global GreenTag HealthRATE - Gold,Good practice,Good practice,Best practice,Best practice
ECNZ Building Insulants (EC 25-17) + Global GreenTag HealthRATE - Platinum,Good practice,Good practice,Best practice,Best practice
ECNZ Building Insulants (EC 25-17) + Global GreenTag HealthRATE - Silver,Tier not met,Tier not met,Good practice,Good practice
ECNZ Building Insulants (EC 25-17) + Global GreenTag Product Health Declaration,Tier not met,Tier not met,Good practice,Good practice
"ECNZ Furniture, Fittings & Floorings (EC 32-17)",Tier not met,Tier not met,Good practice,Good practice
"ECNZ Furniture, Fittings & Floorings (EC 32-17) + Climate Active Carbon Neutral for Products & Services",Good practice,Good practice,Best practice,Best practice
"ECNZ Furniture, Fittings & Floorings (EC 32-17) + Declare 2.0 - Declared",Tier not met,Tier not met,Good practice,Good practice
"ECNZ Furniture, Fittings & Floorings (EC 32-17) + Declare 2.0 - Red List Approved",Good practice,Good practice,Best practice,Best practice
"ECNZ Furniture, Fittings & Floorings (EC 32-17) + Declare 2.0 - Red List Free",Good practice,Good practice,Best practice,Best practice
"ECNZ Furniture, Fittings & Floorings (EC 32-17) + Environmental Product Declaration (EPD) - Industry-Wide",Tier not met,Tier not met,Good practice,Good practice
"ECNZ Furniture, Fittings & Floorings (EC 32-17) + Environmental Product Declaration (EPD) - Product-Specific",Good practice,Good practice,Best practice,Good practice
"ECNZ Furniture, Fittings & Floorings (EC 32-17) + Global GreenTag GreenRate Level A",Good practice,Good practice,Best practice,Best practice
"ECNZ Furniture, Fittings & Floorings (EC 32-17) + Global GreenTag GreenRate Level B",Tier not met,Tier not met,Good practice,Good practice
"ECNZ Furniture, Fittings & Floorings (EC 32-17) + Global GreenTag GreenRate Level C",Tier not met,Tier not met,Good practice,Good practice
"ECNZ Furniture, Fittings & Floorings (EC 32-17) + Global GreenTag HealthRATE - Bronze",Tier not met,Tier not met,Good practice,Good practice
"ECNZ Furniture, Fittings & Floorings (EC 32-17) + Global GreenTag HealthRATE - Gold",Good practice,Good practice,Best practice,Best practice
"ECNZ Furniture, Fittings & Floorings (EC 32-17) + Global GreenTag HealthRATE - Platinum",Good practice,Good practice,Best practice,Best practice
"ECNZ Furniture, Fittings & Floorings (EC 32-17) + Global GreenTag HealthRATE - Silver",Tier not met,Tier not met,Good practice,Good practice
"ECNZ Furniture, Fittings & Floorings (EC 32-17) + Global GreenTag Product Health Declaration",Tier not met,Tier not met,Good practice,Good practice
ECNZ Paints (EC 07-18),Tier not met,Tier not met,Good practice,Good practice
ECNZ Paints (EC 07-18) + Climate Active Carbon Neutral for Products & Services,Good practice,Good practice,Best practice,Best practice
ECNZ Paints (EC 07-18) + Declare 2.0 - Declared,Tier not met,Tier not met,Good practice,Good practice
ECNZ Paints (EC 07-18) + Declare 2.0 - Red List Approved,Good practice,Good practice,Best practice,Best practice
ECNZ Paints (EC 07-18) + Declare 2.0 - Red List Free,Good practice,Good practice,Best practice,Best practice
ECNZ Paints (EC 07-18) + Environmental Product Declaration (EPD) - Industry-Wide,Tier not met,Tier not met,Good practice,Good practice
ECNZ Paints (EC 07-18) + Environmental Product Declaration (EPD) - Product-Specific,Good practice,Good practice,Best practice,Good practice
ECNZ Paints (EC 07-18) + Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Best practice
ECNZ Paints (EC 07-18) + Global GreenTag GreenRate Level B,Tier not met,Tier not met,Good practice,Good practice
ECNZ Paints (EC 07-18) + Global GreenTag GreenRate Level C,Tier not met,Tier not met,Good practice,Good practice
ECNZ Paints (EC 07-18) + Global GreenTag HealthRATE - Bronze,Tier not met,Tier not met,Good practice,Good practice
ECNZ Paints (EC 07-18) + Global GreenTag HealthRATE - Gold,Good practice,Good practice,Best practice,Best practice
ECNZ Paints (EC 07-18) + Global GreenTag HealthRATE - Platinum,Good practice,Good practice,Best practice,Best practice
ECNZ Paints (EC 07-18) + Global GreenTag HealthRATE - Silver,Tier not met,Tier not met,Good practice,Good practice
ECNZ Paints (EC 07-18) + Global GreenTag Product Health Declaration,Tier not met,Tier not met,Good practice,Good practice
ECNZ Pre-painted and resin-coated steel products (EC 57-16),Tier not met,Tier not met,Good practice,Good practice
ECNZ Pre-painted and resin-coated steel products (EC 57-16) + Climate Active Carbon Neutral for Products & Services,Good practice,Good practice,Best practice,Best practice
ECNZ Pre-painted and resin-coated steel products (EC 57-16) + Declare 2.0 - Declared,Good practice,Good practice,Good practice,Good practice
ECNZ Pre-painted and resin-coated steel products (EC 57-16) + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
ECNZ Pre-painted and resin-coated steel products (EC 57-16) + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
ECNZ Pre-painted and resin-coated steel products (EC 57-16) + Environmental Product Declaration (EPD) - Industry-Wide,Good practice,Good practice,Good practice,Good practice
ECNZ Pre-painted and resin-coated steel products (EC 57-16) + Environmental Product Declaration (EPD) - Product-Specific,Good practice,Good practice,Best practice,Best practice
ECNZ Pre-painted and resin-coated steel products (EC 57-16) + Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Best practice
ECNZ Pre-painted and resin-coated steel products (EC 57-16) + Global GreenTag GreenRate Level B,Good practice,Good practice,Good practice,Good practice
ECNZ Pre-painted and resin-coated steel products (EC 57-16) + Global GreenTag GreenRate Level C,Tier not met,Tier not met,Good practice,Good practice
ECNZ Pre-painted and resin-coated steel products (EC 57-16) + Global GreenTag HealthRATE - Bronze,Good practice,Good practice,Good practice,Good practice
ECNZ Pre-painted and resin-coated steel products (EC 57-16) + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
ECNZ Pre-painted and resin-coated steel products (EC 57-16) + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
ECNZ Pre-painted and resin-coated steel products (EC 57-16) + Global GreenTag HealthRATE - Silver,Good practice,Good practice,Good practice,Good practice
ECNZ Pre-painted and resin-coated steel products (EC 57-16) + Global GreenTag Product Health Declaration,Good practice,Good practice,Good practice,Good practice
Environmental Product Declaration (EPD) - Industry-Wide,Tier not met,Tier not met,Tier not met,Tier not met
Environmental Product Declaration (EPD) - Product-Specific,Tier not met,Tier not met,Tier not met,Tier not met
FSC Certification (FSC-STD-AUS-01-2018),Good practice,Good practice,Best practice,Best practice
FSC Certification (FSC-STD-AUS-01-2018) + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
FSC Certification (FSC-STD-AUS-01-2018) + Declare 2.0 - Declared,Good practice,Good practice,Good practice,Good practice
FSC Certification (FSC-STD-AUS-01-2018) + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
FSC Certification (FSC-STD-AUS-01-2018) + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
FSC Certification (FSC-STD-AUS-01-2018) + Environmental Product Declaration (EPD) - Industry-Wide,Good practice,Good practice,Best practice,Best practice
FSC Certification (FSC-STD-AUS-01-2018) + Environmental Product Declaration (EPD) - Product-Specific,Best practice,Best practice,Best practice,Best practice
FSC Certification (FSC-STD-AUS-01-2018) + Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Best practice
FSC Certification (FSC-STD-AUS-01-2018) + Global GreenTag GreenRate Level B,Good practice,Good practice,Best practice,Best practice
FSC Certification (FSC-STD-AUS-01-2018) + Global GreenTag GreenRate Level C,Good practice,Good practice,Best practice,Best practice
FSC Certification (FSC-STD-AUS-01-2018) + Global GreenTag HealthRATE - Bronze,Best practice,Best practice,Best practice,Best practice
FSC Certification (FSC-STD-AUS-01-2018) + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
FSC Certification (FSC-STD-AUS-01-2018) + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
FSC Certification (FSC-STD-AUS-01-2018) + Global GreenTag HealthRATE - Silver,Best practice,Best practice,Best practice,Best practice
FSC Certification (FSC-STD-AUS-01-2018) + Global GreenTag Product Health Declaration,Best practice,Best practice,Best practice,Best practice
"GECA Adhesives, Fillers and Sealants (AFS v4.0ii-2014)",Tier not met,Tier not met,Good practice,Good practice
"GECA Adhesives, Fillers and Sealants (AFS v4.0ii-2014) + Climate Active Carbon Neutral for Products & Services",Best practice,Best practice,Best practice,Best practice
"GECA Adhesives, Fillers and Sealants (AFS v4.0ii-2014) + Declare 2.0 - Declared",Good practice,Good practice,Best practice,Good practice
"GECA Adhesives, Fillers and Sealants (AFS v4.0ii-2014) + Declare 2.0 - Red List Approved",Best practice,Best practice,Best practice,Best practice
"GECA Adhesives, Fillers and Sealants (AFS v4.0ii-2014) + Declare 2.0 - Red List Free",Best practice,Best practice,Best practice,Best practice
"GECA Adhesives, Fillers and Sealants (AFS v4.0ii-2014) + Environmental Product Declaration (EPD) - Industry-Wide",Good practice,Good practice,Best practice,Good practice
"GECA Adhesives, Fillers and Sealants (AFS v4.0ii-2014) + Environmental Product Declaration (EPD) - Product-Specific",Good practice,Good practice,Best practice,Best practice
"GECA Adhesives, Fillers and Sealants (AFS v4.0ii-2014) + Global GreenTag GreenRate Level A",Good practice,Good practice,Best practice,Best practice
"GECA Adhesives, Fillers and Sealants (AFS v4.0ii-2014) + Global GreenTag GreenRate Level B",Good practice,Good practice,Best practice,Best practice
"GECA Adhesives, Fillers and Sealants (AFS v4.0ii-2014) + Global GreenTag GreenRate Level C",Good practice,Good practice,Good practice,Good practice
"GECA Adhesives, Fillers and Sealants (AFS v4.0ii-2014) + Global GreenTag HealthRATE - Bronze",Good practice,Good practice,Best practice,Good practice
"GECA Adhesives, Fillers and Sealants (AFS v4.0ii-2014) + Global GreenTag HealthRATE - Gold",Best practice,Best practice,Best practice,Best practice
"GECA Adhesives, Fillers and Sealants (AFS v4.0ii-2014) + Global GreenTag HealthRATE - Platinum",Best practice,Best practice,Best practice,Best practice
"GECA Adhesives, Fillers and Sealants (AFS v4.0ii-2014) + Global GreenTag HealthRATE - Silver",Good practice,Good practice,Best practice,Good practice
"GECA Adhesives, Fillers and Sealants (AFS v4.0ii-2014) + Global GreenTag Product Health Declaration",Good practice,Good practice,Best practice,Good practice
GECA Building Insulation Materials (BIMv2.0i-2018),Tier not met,Tier not met,Good practice,Good practice
GECA Building Insulation Materials (BIMv2.0i-2018) + Climate Active Carbon Neutral for Products & Services,Good practice,Good practice,Best practice,Best practice
GECA Building Insulation Materials (BIMv2.0i-2018) + Declare 2.0 - Declared,Good practice,Good practice,Good practice,Good practice
GECA Building Insulation Materials (BIMv2.0i-2018) + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
GECA Building Insulation Materials (BIMv2.0i-2018) + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
GECA Building Insulation Materials (BIMv2.0i-2018) + Environmental Product Declaration (EPD) - Industry-Wide,Good practice,Good practice,Good practice,Good practice
GECA Building Insulation Materials (BIMv2.0i-2018) + Environmental Product Declaration (EPD) - Product-Specific,Good practice,Good practice,Best practice,Best practice
GECA Building Insulation Materials (BIMv2.0i-2018) + Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Good practice
GECA Building Insulation Materials (BIMv2.0i-2018) + Global GreenTag GreenRate Level B,Good practice,Good practice,Best practice,Good practice
GECA Building Insulation Materials (BIMv2.0i-2018) + Global GreenTag GreenRate Level C,Tier not met,Tier not met,Good practice,Good practice
GECA Building Insulation Materials (BIMv2.0i-2018) + Global GreenTag HealthRATE - Bronze,Good practice,Good practice,Good practice,Good practice
GECA Building Insulation Materials (BIMv2.0i-2018) + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
GECA Building Insulation Materials (BIMv2.0i-2018) + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
GECA Building Insulation Materials (BIMv2.0i-2018) + Global GreenTag HealthRATE - Silver,Good practice,Good practice,Good practice,Good practice
GECA Building Insulation Materials (BIMv2.0i-2018) + Global GreenTag Product Health Declaration,Good practice,Good practice,Good practice,Good practice
GECA Carpets (C v3.0-2021),Good practice,Good practice,Good practice,Good practice
GECA Carpets (C v3.0-2021) + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
GECA Carpets (C v3.0-2021) + Declare 2.0 - Declared,Good practice,Good practice,Best practice,Best practice
GECA Carpets (C v3.0-2021) + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
GECA Carpets (C v3.0-2021) + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
GECA Carpets (C v3.0-2021) + Environmental Product Declaration (EPD) - Industry-Wide,Good practice,Good practice,Best practice,Best practice
GECA Carpets (C v3.0-2021) + Environmental Product Declaration (EPD) - Product-Specific,Good practice,Good practice,Best practice,Best practice
GECA Carpets (C v3.0-2021) + Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Best practice
GECA Carpets (C v3.0-2021) + Global GreenTag GreenRate Level B,Good practice,Good practice,Best practice,Best practice
GECA Carpets (C v3.0-2021) + Global GreenTag GreenRate Level C,Good practice,Good practice,Good practice,Good practice
GECA Carpets (C v3.0-2021) + Global GreenTag HealthRATE - Bronze,Good practice,Good practice,Best practice,Best practice
GECA Carpets (C v3.0-2021) + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
GECA Carpets (C v3.0-2021) + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
GECA Carpets (C v3.0-2021) + Global GreenTag HealthRATE - Silver,Good practice,Good practice,Best practice,Best practice
GECA Carpets (C v3.0-2021) + Global GreenTag Product Health Declaration,Good practice,Good practice,Best practice,Best practice
"GECA Cement, Concrete & Concrete Products (CCPv1.0ii-2017)",Good practice,Good practice,Good practice,Good practice
"GECA Cement, Concrete & Concrete Products (CCPv1.0ii-2017) + Climate Active Carbon Neutral for Products & Services",Best practice,Best practice,Best practice,Best practice
"GECA Cement, Concrete & Concrete Products (CCPv1.0ii-2017) + Declare 2.0 - Declared",Good practice,Good practice,Best practice,Best practice
"GECA Cement, Concrete & Concrete Products (CCPv1.0ii-2017) + Declare 2.0 - Red List Approved",Best practice,Best practice,Best practice,Best practice
"GECA Cement, Concrete & Concrete Products (CCPv1.0ii-2017) + Declare 2.0 - Red List Free",Best practice,Best practice,Best practice,Best practice
"GECA Cement, Concrete & Concrete Products (CCPv1.0ii-2017) + Environmental Product Declaration (EPD) - Industry-Wide",Good practice,Good practice,Best practice,Best practice
"GECA Cement, Concrete & Concrete Products (CCPv1.0ii-2017) + Environmental Product Declaration (EPD) - Product-Specific",Good practice,Good practice,Best practice,Best practice
"GECA Cement, Concrete & Concrete Products (CCPv1.0ii-2017) + Global GreenTag GreenRate Level A",Good practice,Good practice,Best practice,Best practice
"GECA Cement, Concrete & Concrete Products (CCPv1.0ii-2017) + Global GreenTag GreenRate Level B",Good practice,Good practice,Best practice,Best practice
"GECA Cement, Concrete & Concrete Products (CCPv1.0ii-2017) + Global GreenTag GreenRate Level C",Good practice,Good practice,Best practice,Good practice
"GECA Cement, Concrete & Concrete Products (CCPv1.0ii-2017) + Global GreenTag HealthRATE - Bronze",Good practice,Good practice,Best practice,Best practice
"GECA Cement, Concrete & Concrete Products (CCPv1.0ii-2017) + Global GreenTag HealthRATE - Gold",Best practice,Best practice,Best practice,Best practice
"GECA Cement, Concrete & Concrete Products (CCPv1.0ii-2017) + Global GreenTag HealthRATE - Platinum",Best practice,Best practice,Best practice,Best practice
"GECA Cement, Concrete & Concrete Products (CCPv1.0ii-2017) + Global GreenTag HealthRATE - Silver",Good practice,Good practice,Best practice,Best practice
"GECA Cement, Concrete & Concrete Products (CCPv1.0ii-2017) + Global GreenTag Product Health Declaration",Good practice,Good practice,Best practice,Best practice
GECA Floor Coverings (FC v3.0-2021),Tier not met,Tier not met,Good practice,Good practice
GECA Floor Coverings (FC v3.0-2021) + Climate Active Carbon Neutral for Products & Services,Best practice,Best practice,Best practice,Best practice
GECA Floor Coverings (FC v3.0-2021) + Declare 2.0 - Declared,Good practice,Good practice,Best practice,Good practice
GECA Floor Coverings (FC v3.0-2021) + Declare 2.0 - Red List Approved,Best practice,Best practice,Best practice,Best practice
GECA Floor Coverings (FC v3.0-2021) + Declare 2.0 - Red List Free,Best practice,Best practice,Best practice,Best practice
GECA Floor Coverings (FC v3.0-2021) + Environmental Product Declaration (EPD) - Industry-Wide,Good practice,Good practice,Best practice,Best practice
GECA Floor Coverings (FC v3.0-2021) + Environmental Product Declaration (EPD) - Product-Specific,Good practice,Good practice,Best practice,Best practice
GECA Floor Coverings (FC v3.0-2021) + Global GreenTag GreenRate Level A,Good practice,Good practice,Best practice,Best practice
GECA Floor Coverings (FC v3.0-2021) + Global GreenTag GreenRate Level B,Good practice,Good practice,Best practice,Good practice
GECA Floor Coverings (FC v3.0-2021) + Global GreenTag GreenRate Level C,Good practice,Good practice,Best practice,Good practice
GECA Floor Coverings (FC v3.0-2021) + Global GreenTag HealthRATE - Bronze,Good practice,Good practice,Best practice,Best practice
GECA Floor Coverings (FC v3.0-2021) + Global GreenTag HealthRATE - Gold,Best practice,Best practice,Best practice,Best practice
GECA Floor Coverings (FC v3.0-2021) + Global GreenTag HealthRATE - Platinum,Best practice,Best practice,Best practice,Best practice
GECA Floor Coverings (FC v3.0-2021) + Global GreenTag HealthRATE - Silver,Good practice,Good practice,Best practice,Best practice
GECA Floor Coverings (FC v3.0-2021) + Global GreenTag Product Health Declaration,Good practice,Good practice,Best practice,Best practice
"GECA Furniture, Fittings, Foam and Mattresses (FFFM v3.1i-2017)",Tier not met,Tier not met,Good practice,Good practice
